房源名称,户型,地址,地址,价格,面积,朝向
老山可乐菜市场附近电梯新装修公寓，家具家电齐全，拎包入住,1室0厅,紫竹苑,剑江大道中段,800,30,南北
老山可乐菜场旁边 旺福大厦 3室2厅1 步梯6楼 带空调,3室2厅,伯爵花园,斗蓬山路12号,800,127,朝东
平桥客运站 四中二幼一小 电梯三室精装修 家电齐全 拎包入住,3室2厅,培育大厦,培育巷1号,1400,130,朝北
173匀山越 全新装修 家电齐全 拎包入住 随时看房,2室2厅,匀山樾,剑江北路120号,1500,75,朝西
大十字 五月花楼上电梯 三室两厅两卫 家电家具齐全 拎包入住,3室2厅,中鑫大厦,工人路6号,1500,140,朝东
大十字 南州国际文华苑 2室2厅1卫 1300元月拎包入住,2室2厅,南州国际文华苑,大龙大道8号,1300,90,朝东
平桥  怡盛园小区 3室2厅2卫 1500元月拎包入住,3室2厅,怡盛园小区,剑江北路16号,1500,138,朝东
大西门 广惠国际 1室2厅1卫 1500元月精装修拎包入住,1室2厅,广惠国际,平桥南路26号,1500,60,朝东
大十字 南州国际马鞍山 3室2厅2卫 1200元月包入住,3室2厅,南州国际文华苑,大龙大道8号,1200,114,朝东
南州国际清华苑 四小门口会所豪装设备齐全 可接手就营业带露台,10室2厅,南州国际清华苑,青云湖大道,25000,400,南北
大十字 七街 三小后门步梯3楼 三室两厅一卫 中医院拎包入住,3室2厅,御庭苑,剑江中路98号,1000,100,朝东
火车站十一小附近 步梯4楼两室一厅一卫 家电家具齐全拎包入住,2室1厅,尚城幸福里,云鹤路,800,80,朝东
老三可乐夜市街三室两厅精装房出租   家电家具齐全,3室2厅,紫竹苑,剑江大道中段,1600,110,朝南
开发区伯爵花园单身公寓装修房出租 家电家具齐全 拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1300,51,朝南
开发区 伯爵花园单身公寓精装房出租 家电家具齐全 拎包入住,1室0厅,伯爵花园,斗蓬山路12号,1500,51,朝南
三线博物馆旁边 东来尚城一室一厅精装房出租 家电家具齐全,1室1厅,东来尚城,东来路,1400,46,朝南
万达广场附近 城市风景  四室一厅一厨一卫   月租1600,4室2厅,城市风景,嘉和路2号,1600,120,南北
大西门中医院 御庭苑 精装修电梯房 两室两厅两卫 拎包入住,2室2厅,御庭苑,剑江中路98号,1600,110,朝东
大十字波斯湾二楼三室，1300月，随时看房,3室1厅,建业大厦,滨路56号,1300,90,南北
彩虹桥 附近 3室1厅1卫 900元月 80平,3室1厅,久达新村,飞燕路14号,900,80,南北
都匀附中旁步梯4楼两室两厅整套出租图片实拍,2室2厅,惠丽佳园,胜利路81号,600,75,南北
万达购物广场 沙坝丽景天成 精装两室 家具家电齐全 拎包入住,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝北
平桥水厂 七小旁边步梯3楼 两室一厅 家电家具齐全 拎包入住,2室1厅,剑北小区,剑江北路,800,80,朝东
大十字临江大厦一室一厅 家具家电齐全,1室1厅,临江大厦,河滨路,1500,50,南北
四一四医院旁虹桥苑三室二厅精装 家具家电齐全,3室2厅,虹桥苑,江北路172号,1000,120,南北
万达旁 滨江一号4室1厅精装修 家具家电齐全,4室1厅,碧桂园滨江一号,西山大道,1500,93,南北
文峰园 尚城壹品精装公寓 一室一厅一卫 家电家具齐全拎包入住,1室1厅,尚城壹品,剑江中路,1400,53,朝东
新都汇 水岸名门 两室一厅 精装修 家电齐全拎包入住,2室1厅,水岸铭门,西山大道,1300,80,朝北
筑匀大厦 女人街 电梯精装两室两厅 家具家电齐全 拎包入住,2室2厅,筑匀大厦,广惠路407号,1500,105,朝北
云宫花城 花园式小区 三室两厅 精装修家电家具齐全拎包入住,3室2厅,云宫花城,云宫路,1300,110,朝北
行政服务大厅 汽车商贸城 精装三室两厅 家具家电齐全拎包入住,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝北
173新天地 老年公寓精装三室两厅一卫 家具家电齐全拎包入住,3室2厅,老年公寓小区,剑江北路139号,1000,110,朝北
州医院宿舍楼，三室两厅拎包入住,3室2厅,中大逸峰,文峰路1号,1300,120,东南
裤裆街，七楼！三室两厅，拎包入住,3室2厅,海文大厦,新华路2号,900,96,东南
急租 平惠小区 简单装修3室2厅2卫 850月 拎包入住,3室2厅,平惠小区,平桥北路4号,850,91,朝南
华馨湾 9室3厅3卫 9000元月 精装修 400平,9室3厅,华馨湾,伯爵美食街,9000,400,朝东
小十字 女人街筑匀大厦 两室精装 1500 市中心核心圈,2室1厅,筑匀大厦,广惠路407号,1500,104,朝南
沙坝行政中心 步梯四楼 家具家电齐全 带空调 沙坝核心商业圈,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝南
沙坝 丽景天城两室精装 电梯房 1200 家具齐全,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝南
开发区 嘉和城市风景 3室2厅2卫精装房带空调拎包入住,3室2厅,嘉和城市风景,嘉和路2号,1500,135,朝东
万达广场 师范学校旁 观澜水岸 2室2厅1卫 1400元月,2室2厅,观澜水岸,观澜路79号,1400,92,朝东
万达广场黔南汽车商贸城 3室2厅2卫 1200元月拎包入住,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝东
大西门虹桥苑 3室2厅1卫 1000元月精装修拎包入住,3室2厅,虹桥苑,江北路172号,1000,120,朝东
小围寨城南新家园 4室2厅1卫 1600元月家电家具齐全,4室2厅,城南新家园,独山路,1600,145,朝东
彩虹桥 414医院旁 嘉和园 3室1厅1卫 1100元月,3室2厅,嘉和园,天池路2号,1100,100,朝东
小围寨聚林世纪城 1室1厅1卫 850元月精装修拎包入住,1室1厅,聚林世纪城,剑江南路181号,850,65,朝东
中医院附近   七街明珠广场旁步梯3楼100平三居室可短租,3室2厅,明珠广场,剑江中路90号,1200,100,南北
沙坝 汽车商贸城步梯4楼 三室两厅两卫 家电家具齐全拎包入住,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝东
水厂附近沸城国际单身公寓出租 家电家具齐全 拎包入住 有空调,1室0厅,榕锐沸城国际,环东北路104号,1400,46,朝南
南洲国际 三中旁边 单间房出租 可短租  有空调 独立卫生间,1室0厅,南州国际文华苑,大龙大道8号,1000,18,朝南
水厂附近 沸城国际两室两厅带衣帽间精装房出租  家电齐全,2室2厅,榕锐沸城国际,环东北路104号,1800,107,朝南
南洲国际马鞍山小区两室两厅精装房出租 家电家具齐全 拎包入住,2室1厅,马鞍山小区林馨佳苑,大龙大道,1400,98,朝南
彩虹桥 嘉和园 3室2厅1卫 1100元月  100平,3室2厅,嘉和园,天池路2号,1100,100,西南
云宫花城 3室1厅1卫 1200元月 精装修,3室1厅,云宫花城,云宫路,1200,110,东西
新二中碧桂园滨江一号 4室1厅2卫  电梯房,4室1厅,碧桂园滨江一号,西山大道,2300,160,南北
蒙家桥站台旁 两室变三室出租 随时看房,2室2厅,东江小区,剑江南路2号,900,90,朝西
州医院旁中大逸峰酒店式公寓，带飘窗采光好（房主直租）,1室0厅,中大逸峰,文峰路1号,850,25,朝东
州医院旁(中大逸锋)单身公寓住房出租,1室0厅,中大逸峰,文峰路1号,800,26,南北
东山学苑电梯8楼精装修二室一厅拎包入住,2室1厅,东山学苑,广惠路66号,1200,70,南北
老山可乐全欣大厦四室二厅精装 家电家具齐全,4室2厅,全欣大厦,天乐路10号,1800,150,南北
慧谷枫林精装2房2厅拎包入住（接送看房）,2室2厅,慧谷枫林,环东中路258号,1400,95,南北
州医院后门电梯三房，1600月，随时看房,3室2厅,剑峰小区,环东中路256号,1600,137,朝西
平桥客运总站对面物资大厦酒店式公寓（房主直租）,1室0厅,物资大厦,剑江北路38,700,25,朝东
三中 南州国际 2室2厅2卫 1600元月 电梯房,2室2厅,南州国际文华苑,大龙大道8号,1600,100,南北
文峰家园 3室1厅1卫 1500元月 精装修 110平,3室1厅,中建花园,剑江大道中段,1300,110,南北
万达 红叶小区 精装三室两厅两卫带露台 家电家具齐全拎包入住,3室2厅,红叶小区,绿茵湖大道中段,1800,125,朝东
东来尚城小区电梯公寓出租图片实拍拎包入住,1室1厅,东来尚城,东来路,1200,56,南北
大十字转盘 物资大厦 两室一厅一卫 家电家具齐全 州医院,2室2厅,华鑫大厦,剑江中路,1500,90,朝东
老山可乐单身公寓精装 接受短租,1室0厅,龙彩花园,兰香巷,800,35,南北
州医院后门东坡二室二厅精装 家具家电齐全,2室2厅,东坡花园,环东中路113号,1300,1000,南北
平桥公路局宿舍二室一厅精装 家具家电齐全,2室1厅,利恒名苑(沸城100),剑江北路70号,800,80,南北
万达旁龙山豪景三室一厅精装 家具家电齐全,3室1厅,龙山豪景,斗篷山路96号,1800,119,南北
万达旁汇悦新天地二室二厅精装 家具家电齐全,2室2厅,汇悦新天地,斗篷山路100号,2000,90,南北
大十字建业大厦二室二厅 家具家电齐全,2室2厅,建业大厦,滨路56号,1400,108,南北
大十字 中鑫大厦单身公寓 精装修 家具家电齐全 拎包入住,1室1厅,中鑫大厦,工人路6号,1000,55,朝北
大西门(免中介费）中医院后面都市尤庭单间住房出租,1室0厅,都市龙庭,河滨路,450,15,南北
大西门  七街 繁华地段 三室两厅低楼层 家电家齐全拎包入住,3室2厅,黔中公寓,协府路10号,1000,90,朝北
整租  剑江新城  三房一厅一厨一卫 精装修家电齐全拎包入住,3室1厅,剑江新城,振华路,1000,120,朝西
南州国际 马鞍山 精装两室两厅 家具家电齐全 采光好拎包入住,2室2厅,马鞍山小区林馨佳苑,大龙大道,1400,90,南北
万达购物广场碧桂园滨江一号电梯精装四室两厅 家电齐全拎包入住,4室2厅,碧桂园滨江一号,西山大道,1600,116,朝北
整租 大西门御庭苑 三室两厅可办公 只要900月随时看房,3室2厅,御庭苑,剑江中路98号,1000,120,东南
东来尚城 沙坝 花园式小区精装两室 家具家电齐全 拎包入住,2室1厅,东来尚城,东来路,1000,95,朝北
伯爵花园河景2房，干净整洁，拎包入住，阳台视线非常好,2室2厅,伯爵花园,斗蓬山路12号,2200,95,朝北
租大龙田康城小区电梯房3室1厅,3室1厅,康诚小区,剑江南路149号,900,94,西北
西苑红绿灯对面，三室两厅拎包入住,3室2厅,西苑大厦,斗篷山路28号,1100,90,东南
大十字 老佳慧对面 适合办公 开店 随时看房,3室2厅,中寰广场,剑江大道中段,2200,140,南北
州公安南州国际星岸三室两厅两卫精装修出租,3室2厅,南州国际星岸,环西大道6号,2000,127,西南
灵智广场三室两厅两卫精装修出租,3室2厅,灵智广场,斗篷山路,1500,125,朝南
合租，4室1厅2卫 780元月 电梯房,4室1厅,黔南汽车商贸城,斗篷山路269号,780,38.2,南北
伯爵花园 一室户公寓 六楼电梯精装房 1000 房子干净,1室0厅,伯爵花园,斗蓬山路12号,1000,35,朝南
开发区转盘4室两厅两卫出租可办公美容,4室2厅,临江雅苑,平桥北路1号,3800,250,南北
彩虹桥414医院旁 临江雅苑3室2厅2卫精装房带空调拎包入住,3室2厅,临江雅苑,平桥北路1号,1500,125,朝东
大西门 御庭苑 2室2厅2卫 1600元月110平拎包入住,2室2厅,御庭苑,剑江中路98号,1600,110,朝东
州医院后门，4室2厅2卫，拎包入住！,4室2厅,文化小区,振华路,1600,140,东南
沙坝 四一四 丽景天城 两室两厅一卫 家电家具齐全 拎包入住,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝东
开发区转盘 老山可乐 步梯宿舍步梯5楼 家电家具齐全拎包入住,3室1厅,都匀市河滨路州外贸宿舍,都匀市河滨路74-79号,800,85,朝东
州公安宿舍，三室两厅一卫，拎包入住,3室2厅,观天下,迎宾路,1000,95,东南
水厂 鸿安酒店  出租  有电脑空调 高品质酒店  可短租,1室0厅,鸿安家园,环东北路108号,1200,16,朝南
水厂附近沸城国际 单身公寓精装房出租 家电家具齐全 有空调,1室1厅,榕锐沸城国际,环东北路104号,1400,46,朝南
大十字 明珠广场三室两厅精装房出租 家电家具齐全 有空调,3室2厅,明珠广场,剑江中路90号,2300,116,朝南
龙山豪景 4室2厅2卫 2000元月 配套齐全 豪华装修,4室2厅,龙山豪景,斗篷山路96号,2000,150,南北
都市龙庭 3室2厅1卫 1400元月 南北通透 电梯房,3室2厅,都市龙庭,河滨路,1400,135,南北
大十字附近 临江大厦一室一厅出租 家电家具齐全 拎包入住,1室1厅,临江大厦,河滨路,1300,50,朝南
租 伯爵花园 1室1厅1卫  拎包即住 1200元月,1室1厅,伯爵花园,斗蓬山路12号,1200,32,朝南
老一中菜场，2室1厅1卫60,2室1厅,金鹏花园,广惠路270号,1000,60,南北
城市风景小区电梯三室两厅整租图片实拍拎包入住,3室2厅,嘉和城市风景,嘉和路2号,1200,133,南北
小十字  3室2厅2卫 2000元月 150平,3室2厅,华欣大厦,广惠路438号,2000,150,朝南
万达旁御府湾二室一厅精装包物业 家具家电齐全,2室1厅,御府湾,绿茵湖大道,1500,80,南北
平桥，临江雅苑，电梯四室，拎包入住！,4室2厅,临江雅苑,平桥北路1号,1600,140,西北
大十字御庭苑旁三小宿舍三室二厅精装 家具家电齐全,3室2厅,御庭苑,剑江中路98号,1000,100,南北
平桥怡盛园三室二厅精装 家具家电齐全,3室2厅,怡盛园小区,剑江北路16号,1500,138,南北
伯爵花园小区 精装两室两厅 带空调 家具家电齐全 拎包入住,2室2厅,伯爵花园,斗蓬山路12号,1500,90,朝北
沙坝 行政服务大厅 幸福里精装三室 家具家电齐全 拎包入住,3室2厅,鼎源幸福里,七星路9号,1300,100,朝北
小围寨 世纪广场 电梯两室 精装修 家具家电齐全 拎包入住,2室2厅,世纪广场,剑江南路,1200,78,朝北
费城国际 精装修 单身公寓带空调 家具家电齐全 拎包入住,1室0厅,榕锐沸城国际,环东北路104号,1300,40,朝北
五月花旁，二室二厅拎包入住,2室2厅,物资大厦,剑江北路38,1300,88,东南
老四一四医院，宿舍，,2室1厅,静福小区,环城西路105号,800,78,东南
南州国际星岸三室两厅两卫出租,3室2厅,南州国际星岸,环西大道6号,1500,135,西南
水岸铭门三室两厅一卫出租,3室2厅,水岸铭门,西山大道,1900,110,朝南
小十字塞维利亚旁  两室一厅中等装修家具家电齐全拎包入住,2室1厅,中鑫大厦,工人路6号,900,75,南北
文峰家园 锦江苑 3室2厅 精装修 家电齐全 户型大 采光好,3室2厅,文峰家园,剑江中路36号,1600,143,朝东
万达广场 四一四医科大学附属医院 丽景天城 2室2厅1卫,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝东
万达 剑江半岛 4室2厅2卫 2200元月拎包入住带空调,4室2厅,剑江半岛,杜鹃湖路,2200,133,朝东
大西门黔中公寓1室0厅1卫1400元月包物业拎包入住,1室0厅,黔中公寓,协府路10号,1400,40,朝东
大西门 东山怡景 旁 2室1厅1卫800元月拎包入住,2室1厅,东山怡景,协府路28号,800,88,朝东
大十字天桥处财政局宿舍步梯5楼全齐三居室仅租1千一个月,3室2厅,金海岸大厦,剑江中路67号,1000,90,南北
万达 御府湾 精装公寓 电梯房 家电家具齐全 拎包入住,1室1厅,御府湾,绿茵湖大道,1000,40,朝东
万达旁边 汇悦新天地两室两厅精装房出租 家电家具齐全拎包入住,2室2厅,汇悦新天地,斗篷山路100号,1800,100,朝南
租 老火车站 文峰公园门口 电梯3房 家电齐全1800月,3室2厅,西鸿大厦,新华路161号,1800,140,南北
剑锋小区瑞林苑 3室2厅2卫 1600元月 电梯房,3室2厅,剑锋小区瑞林苑,振华路,1500,137,东南
汽车总站 七小对面家具齐全领包入住,2室1厅,云都广场,剑江北路81号,900,80,西南
黑桥头 临江雅苑 三室精装1500 带空调 家具齐全,3室2厅,临江雅苑,平桥北路1号,1500,125,朝东
师院附近，精装 新家电1800带空调，3室1厅2卫,3室2厅,龙山豪景,斗篷山路96号,1700,119,南北
大十字 供电小区 三室一厅一卫 家电家具齐全 州医院 中医院,3室1厅,都匀供电局小区,剑江中路112号,800,90,朝东
南洲国际 马鞍山B区 精装电梯房 两室两厅一卫 家电家具齐全,2室2厅,马鞍山小区林馨佳苑,大龙大道,1300,90,朝东
万达旁城市风景三室二厅精装 家具家电齐全,3室2厅,城市风景,嘉和路2号,1600,130,南北
三街黔中公寓包物业宽带精装 家具家电齐全,1室0厅,黔中公寓,协府路10号,1400,40,南北
开发区转盘久达新村三室二厅精装 家具家电齐全,3室2厅,久达新村,飞燕路14号,1200,90,南北
沙坝丽景天城二室二厅精装 家具家电齐全,2室2厅,丽景天城,汽车商贸城对面,1200,90,南北
小十字州医院 现代城 精装电梯房 三室两厅两厅 家电家具齐全,3室2厅,现代城,民族路37号,1500,135,朝东
费城国际 汇通佳苑电梯精装三室两厅三空调家电家具齐全拎包入住,3室2厅,汇通佳苑,剑江北路72号,2000,110,朝北
大十字 繁华地段 物资大厦精装两室 家具及电齐全 拎包入住,2室2厅,物资大厦,剑江北路38,1500,88,朝北
财富中心对面  文峰家园旁时代广场简装4房，可办公可居住，,4室2厅,文峰家园,剑江中路36号,2500,165,朝东
复式楼两层，5室3厅2卫，拎包入住,5室3厅,水榭花都,环东北路74号,2000,188,东南
租伯爵花园精装单身公寓 家具家电齐全拎包即入住 小区环境优美,1室1厅,伯爵花园,斗蓬山路12号,1400,38,朝南
万代广场旁 汇悦新天地 精装两房，家具全带户型好采光好出租,2室2厅,汇悦新天地,斗篷山路100号,1600,85,西南
万达附近 十中对面龙山豪景精装房 1300半年付 家具齐全,3室1厅,龙山豪景,斗篷山路96号,1300,121,朝南
新都汇后面 水岸铭门 两室精装1300 户型通透,2室1厅,水岸铭门,西山大道,1300,76,南北
开发区伯爵 全欣大厦 4室2厅2卫1800元月适合办公入住,4室2厅,全欣大厦,天乐路10号,1800,150,朝东
州医院后门，四室，带空调，拎包入住！,4室2厅,东坡花园,环东中路113号,1500,140,东南
万达广场附近 御府湾两室两厅两卫精装房出租 家电家具齐全,2室2厅,御府湾,绿茵湖大道,1800,100,朝南
新都汇后面 水岸铭门三室两厅精装房出租 家电家具齐全,3室2厅,水岸铭门,西山大道,2000,107,朝南
万达广场楼上 两室两厅精装房出租 家电家具齐全 有地暖,2室2厅,天源2013,斗篷山路227号,2200,103,朝南
南洲国际三中旁边两室一厅精装房出租 家电家具齐全 拎包入住,2室1厅,马鞍山小区林馨佳苑,大龙大道,1500,90,朝南
万达广场附近 碧桂园滨江一号四室两厅两卫精装房 家电家具齐全,4室2厅,碧桂园滨江一号,西山大道,2000,131,朝南
大十字附近 观天下 三室两厅一卫精装修出租  家电家具齐全,3室2厅,观天下,迎宾路,2200,130,朝南
大十字附近金麒麟三室两厅精装房 家电家具齐全 拎包入住,3室2厅,金麒麟,工人路38号,2000,118,朝南
平桥头 四一四步梯二楼 三室两厅一卫 家电家具齐全 拎包入住,3室2厅,都市银座,剑江中路91号,900,85,朝东
云宫花城大三房131平，租1500月,3室2厅,云宫花城,云宫路,1500,131.5,南北
普罗旺斯旁电梯三房1600月，随时看房,3室2厅,全欣大厦,天乐路10号,1600,108,朝南
文峰广场尚城财富中心 1室1厅1卫 1500元月 50平,1室1厅,尚城财富中心,剑江中路35号,1500,50,南北
沸城国际三室一厅精装 家具家电齐全,3室1厅,利恒名苑(沸城100),剑江北路70号,1600,95,南北
都匀客运总站旁步梯三室两厅出租图片实拍拎包入住,3室2厅,云都广场,剑江北路81号,1000,103,南北
大十字物资大厦精装 家具家电齐全,2室2厅,剑江半岛,杜鹃湖路,1500,88,南北
新火车站聚林世纪城二室二厅精装 家具家电齐全,2室2厅,聚林世纪城,剑江南路181号,1000,84,南北
开发区 伯爵 豪华公寓带中央空调 一室两厅一卫 拎包入住,1室2厅,伯爵花园,斗蓬山路12号,1500,50,朝东
伯爵花园式小区 精装修单身公寓 采光好 家具齐全 拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1300,40,朝北
平桥 广惠国际 四中 一小 两室两厅 精装修家电齐全拎包入住,2室2厅,广惠国际,平桥南路26号,1200,90,朝北
蒙家桥 公交站 新装修 两室一厅 家具家电齐全 拎包入住,2室1厅,东江小区,剑江南路2号,900,86,朝北
彩虹桥 嘉和园 三室两厅一卫 低楼层精装修家电齐全 拎包入住,3室2厅,嘉和园,天池路2号,1100,100,朝北
大十字 富强巷 新装两室一厅 家具家电齐全 拎包入住,2室1厅,明珠广场,剑江中路90号,900,80,朝北
聚林世纪城精装公寓  拎包入住 ，独立公寓，安全周边交通方便,1室1厅,聚林世纪城,剑江南路181号,1300,60,朝东
七街旁三室两厅一卫拎包入住,3室2厅,兴荣大厦,新华路26号,800,120,东南
大十字 电梯三室两厅两卫 办公 随时看房,3室2厅,中寰广场,剑江大道中段,2200,140,南北
中鑫大夏。三室两厅两卫，拎包入住,3室2厅,中鑫大厦,工人路6号,1800,130,西南
南州国际星岸两室一厅一卫出租,2室1厅,南州国际星岸,环西大道6号,1500,89,西北
蒙家桥 三仓库 菜场楼上 步梯5楼  2室出租  刚装修的,2室1厅,文峰家园,剑江中路36号,800,50,朝东
平桥 东山上品 3室2厅2卫 电梯6楼 家电齐全 拎包入住,3室2厅,东山上品,广惠路47号,1100,124,朝东
小围寨 南城新家园 3室1厅1卫家电齐全 拎包入住,3室2厅,城南新家园,独山路,1000,145,朝东
万达附近 红叶小区 三室精装 电梯2楼带露台 新房出租,3室2厅,红叶小区,绿茵湖大道中段,1800,125,朝南
伯爵花园 单身公寓1300 家具家电齐全 花园小区,1室1厅,伯爵花园,斗蓬山路12号,1300,39,朝南
尚城一品江景房 三室精装 全新家具家电 只租长租客,3室2厅,尚城壹品,剑江中路,2300,103,朝南
小十字 女人街 筑匀大厦 精装两室两厅一卫 家电家具齐全,2室2厅,筑匀大厦,广惠路407号,1500,105,朝东
大十字 南州国际文华苑2室2厅1卫精装全新家具没用过拎包入住,2室2厅,南州国际文华苑,大龙大道8号,1800,96,朝东
大西门 中医院旁 水锦花城 3室2厅2卫,3室2厅,水锦花城,环城西路36号,1200,125,朝东
万达开发区 伯爵花园 2室2厅1卫1600元月带空调拎包入住,2室2厅,伯爵花园,斗蓬山路12号,1600,90,朝东
平桥 沸城100旁 2室1厅1卫 1100元月精装修拎包入住,2室1厅,利恒名苑(沸城100),剑江北路70号,1100,90,朝东
万达 开发区 伯爵花园2室2厅1卫 1500元月拎包入住,2室2厅,伯爵花园,斗蓬山路12号,1500,97,朝东
万达广场沁园村 1室1厅1卫 1100元月精装修拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1100,50,朝东
大十字 南州国际清华苑3室2厅2卫2000元月拎包入住,3室2厅,南州国际清华苑三期,外环东路,2000,115,朝东
新都汇国际 西城国际 2室1厅1卫 1600元月拎包入住,2室1厅,西城国际,西山大道,1600,79,朝东
大十字1300租电梯三房哦 西山大桥旁精装修家具齐全拎包入住,3室2厅,百业大厦,民族路6号,1300,130,南北
平桥客车站对面  平惠小区三室一卫简装步梯3楼停车方便有钥匙,3室1厅,平惠小区,平桥北路4号,900,88,南北
沙坝 鼎源幸福里 三室两厅一卫 精装修 家电家具齐全拎包入住,3室2厅,鼎源幸福里,七星路9号,1300,100,朝北
大十字 文峰园 尚城幸福里 两室一厅一卫 家电家具齐全新装修,2室1厅,尚城幸福里,云鹤路,1500,80,朝东
老山可乐 伯爵精装电梯房 两室两厅一厅 家电家具齐全拎包入住,2室2厅,伯爵花园,斗蓬山路12号,1500,97,朝东
万达广场附近 水岸绿洲两室两厅精装出租 家电家具齐全,2室2厅,水岸绿洲,斗篷山路189号,1400,96,朝南
万达广场对面 银湖星城三室两厅两卫精装房出租,3室2厅,银湖星城,毛尖大道中段,2200,127,朝南
腾龙溪苑 3室2厅2卫 1400元月 电梯房 精装修,3室2厅,腾龙溪苑,环城西路47号,1400,121,南北
大十字附近 西山新苑 单间房出租   可短租  带空调,1室0厅,西山新苑,民族路1号,1000,17,朝南
三线博物馆旁边南洲国际星岸两室一厅精装出租 家电家具齐全,2室2厅,南州国际星岸,环西大道6号,1500,95,朝南
老三可乐 伯爵花园单身公寓精装房出租 家电家具齐全 有空调,1室0厅,伯爵花园,斗蓬山路12号,1500,50,朝南
聚龙港 旁边 剑江半岛两室两厅精装房出租 家电家具齐全,2室2厅,剑江半岛,杜鹃湖路,1600,100,朝南
万达广场旁边 汇悦新天地两室两厅精装房 家电家具齐全,2室2厅,汇悦新天地,斗篷山路100号,1600,90,朝南
州医院后门2室2厅1卫100,2室2厅,文化小区,振华路,1300,100,西南
平桥 3室1厅1卫 900元月 90平,3室1厅,平惠小区,平桥北路4号,800,90,朝南
水厂沸城100  3室1厅1卫 1600元月 电梯房,3室1厅,利恒名苑(沸城100),剑江北路70号,1600,100,南北
中医院旁步梯3楼两室两厅房屋出租图片实拍拎包入住,2室2厅,电信小区,河滨路,1100,80,南北
